STATS:: before STAT_MEMDB_COPY :  M=3752.211mb, T=0s
STATS:: after STAT_MEMDB_COPY :  M=3798.938mb, T=0.000s
STATS:: before Worker Setup DB Cache:  :  M=3870.941mb, T=0s
STATS:: before Verdi Load Design:  :  M=3874.930mb, T=0s
STATS:: after Worker Setup DB Cache:  :  M=3874.930mb, T=2.000s
STATS:: after Verdi Load Design:  :  M=3879.152mb, T=4.000s
STATS:: before Generate group information by DataModel Worker :  M=3767.926mb, T=0s
STATS:: before Query DB for Data View:  :  M=3767.926mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3767.926mb, T=0.000s
STATS:: after Query DB for Data View:  :  M=3866.340mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3866.461mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3866.461mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3866.461mb, T=0s
STATS:: after Query DB for Data View:  :  M=3866.945mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3867.066mb, T=0s
STATS:: after Show Data View Record:  :  M=3875.070mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3787.496mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3787.496mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3787.496mb, T=0s
STATS:: after Query DB for Data View:  :  M=3788.465mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3788.465mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3788.465mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3788.465mb, T=0s
STATS:: after Query DB for Data View:  :  M=3789.070mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3789.312mb, T=0s
STATS:: after Show Data View Record:  :  M=3789.312mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3791.973mb, T=0s
STATS:: after Show Data View Record:  :  M=3791.973mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3794.555mb, T=0s
STATS:: after Show Data View Record:  :  M=3794.555mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3795.887mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3795.887mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3795.887mb, T=0s
STATS:: after Query DB for Data View:  :  M=3796.492mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3796.492mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3796.492mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3796.492mb, T=0s
STATS:: after Query DB for Data View:  :  M=3797.340mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3797.340mb, T=0s
STATS:: after Show Data View Record:  :  M=3797.340mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3800.457mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3800.457mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3800.457mb, T=0s
STATS:: after Query DB for Data View:  :  M=3801.062mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3801.062mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3801.062mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3801.062mb, T=0s
STATS:: after Query DB for Data View:  :  M=3801.789mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3801.910mb, T=0s
STATS:: after Show Data View Record:  :  M=3801.910mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3805.379mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3805.379mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3805.379mb, T=0s
STATS:: after Query DB for Data View:  :  M=3805.863mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3805.863mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3805.863mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3805.863mb, T=0s
STATS:: after Query DB for Data View:  :  M=3806.832mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3806.953mb, T=0s
STATS:: after Show Data View Record:  :  M=3806.953mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3812.012mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3812.012mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3812.012mb, T=0s
STATS:: after Query DB for Data View:  :  M=3813.988mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3813.988mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3813.988mb, T=0.000s
