

### analyze	Num_calls 1	Total_time 0.746137	Total_CpuTime 0.26	Total malloc-M 1
1	File:run_cdc.tcl::15	Time:0.746137	CpuTime:0.26	 Malloc-MB:1

### check_cdc	Num_calls 1	Total_time 5.54847	Total_CpuTime 2.72	Total malloc-M 29
1	File:run_cdc.tcl::109	Time:5.54847	CpuTime:2.72	 Malloc-MB:29

### configure_cdc_nff_sync	Num_calls 1	Total_time 0.001138	Total_CpuTime 0	Total malloc-M 0
1	File:run_cdc.tcl::31	Time:0.001138	CpuTime:0.00	 Malloc-MB:0

### configure_cdc_setup_check	Num_calls 1	Total_time 0.000332	Total_CpuTime 0	Total malloc-M 0

### configure_reset_propagation	Num_calls 2	Total_time 0.000358	Total_CpuTime 0	Total malloc-M 0

### configure_tag	Num_calls 19	Total_time 0.067849	Total_CpuTime 0.07	Total malloc-M 6
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.03292	CpuTime:0.03	 Malloc-MB:5
2	File:run_cdc.tcl::11	Time:0.004297	CpuTime:0.01	 Malloc-MB:0
3	File:run_cdc.tcl::11	Time:0.00252	CpuTime:0.01	 Malloc-MB:0
4	File:run_cdc.tcl::11	Time:0.002159	CpuTime:0.00	 Malloc-MB:0
5	File:run_cdc.tcl::11	Time:0.002041	CpuTime:0.00	 Malloc-MB:0
6	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.001808	CpuTime:0.00	 Malloc-MB:0
7	File:run_cdc.tcl::11	Time:0.001805	CpuTime:0.00	 Malloc-MB:0
8	File:run_cdc.tcl::11	Time:0.001764	CpuTime:0.00	 Malloc-MB:0
9	File:run_cdc.tcl::11	Time:0.001754	CpuTime:0.00	 Malloc-MB:0
10	File:run_cdc.tcl::11	Time:0.001746	CpuTime:0.00	 Malloc-MB:0
11	File:run_cdc.tcl::11	Time:0.001743	CpuTime:0.01	 Malloc-MB:0
12	File:run_cdc.tcl::11	Time:0.001698	CpuTime:0.00	 Malloc-MB:0
13	File:run_cdc.tcl::11	Time:0.001695	CpuTime:0.00	 Malloc-MB:0
14	File:run_cdc.tcl::11	Time:0.00168	CpuTime:0.01	 Malloc-MB:0
15	File:run_cdc.tcl::11	Time:0.001671	CpuTime:0.00	 Malloc-MB:0
16	File:run_cdc.tcl::11	Time:0.001662	CpuTime:0.00	 Malloc-MB:0
17	File:run_cdc.tcl::11	Time:0.001633	CpuTime:0.00	 Malloc-MB:0
18	File:run_cdc.tcl::11	Time:0.001582	CpuTime:0.00	 Malloc-MB:0

### configure_waiver	Num_calls 4	Total_time 0.021271	Total_CpuTime 0.02	Total malloc-M 0
1	File:run_cdc.tcl::11	Time:0.005465	CpuTime:0.01	 Malloc-MB:0
2	File:run_cdc.tcl::11	Time:0.005333	CpuTime:0.00	 Malloc-MB:0
3	File:run_cdc.tcl::11	Time:0.005259	CpuTime:0.00	 Malloc-MB:0
4	File:run_cdc.tcl::11	Time:0.005214	CpuTime:0.01	 Malloc-MB:0

### create_clock	Num_calls 3	Total_time 0.001584	Total_CpuTime 0	Total malloc-M 0
1	File:/home/ltthinh/PSRAM_THANG/syn/dc/sdc.tcl::15	Time:0.001027	CpuTime:0.00	 Malloc-MB:0

### create_proc_command	Num_calls 249	Total_time 0.030016	Total_CpuTime 0.03	Total malloc-M 2

### create_reset	Num_calls 3	Total_time 0.000632	Total_CpuTime 0	Total malloc-M 0

### define_violation	Num_calls 2	Total_time 1.21262	Total_CpuTime 1.15	Total malloc-M 11
1	File:run_cdc.tcl::11	Time:0.644437	CpuTime:0.64	 Malloc-MB:0
2	File:run_cdc.tcl::11	Time:0.568183	CpuTime:0.51	 Malloc-MB:11

### elaborate	Num_calls 1	Total_time 2.90809	Total_CpuTime 2.17	Total malloc-M 39
1	File:run_cdc.tcl::19	Time:2.90809	CpuTime:2.17	 Malloc-MB:39

### fv_update_command_consistency_flow	Num_calls 1	Total_time 0.000851	Total_CpuTime 0	Total malloc-M 0

### get_clocks	Num_calls 9	Total_time 0.000733	Total_CpuTime 0	Total malloc-M 0

### get_message_db_ptr	Num_calls 1	Total_time 2.8e-05	Total_CpuTime 0	Total malloc-M 0

### get_nets	Num_calls 4	Total_time 0.002	Total_CpuTime 0	Total malloc-M 0

### get_object_name	Num_calls 5	Total_time 0.000295	Total_CpuTime 0	Total malloc-M 0

### get_pins	Num_calls 52	Total_time 0.017679	Total_CpuTime 0.01	Total malloc-M 0
1	File:run_cdc.tcl::106	Time:0.001236	CpuTime:0.01	 Malloc-MB:0
2	File:run_cdc.tcl::106	Time:0.001099	CpuTime:0.00	 Malloc-MB:0
3	File:run_cdc.tcl::106	Time:0.00109	CpuTime:0.00	 Malloc-MB:0
4	File:run_cdc.tcl::106	Time:0.001032	CpuTime:0.00	 Malloc-MB:0

### get_ports	Num_calls 16	Total_time 0.00192	Total_CpuTime 0.01	Total malloc-M 0

### get_report_db_ptr	Num_calls 1	Total_time 2.6e-05	Total_CpuTime 0	Total malloc-M 0

### invalidate_report_cache	Num_calls 8	Total_time 0.018643	Total_CpuTime 0.01	Total malloc-M 6
