M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before RegisterApps : M=1196.71mb, Malloc-M=7mb, Available-M=25273mb, T=0s CPU=0s W=(2026-06-14 21:38:08)
STATS:: |   before LicenseMgr Init : M=1618.79mb, Malloc-M=429mb, Available-M=24852mb, T=0s CPU=0s W=(2026-06-14 21:38:09)
STATS:: |   after  LicenseMgr Init : M=1625.07mb, Malloc-M=430mb, Available-M=24846mb, T=1s CPU=0.59s W=(2026-06-14 21:38:10)
STATS:: after  RegisterApps : M=1625.07mb, Malloc-M=431mb, Available-M=24846mb, T=2s CPU=1.56s W=(2026-06-14 21:38:10)
STATS:: before Analyze M=2075.03mb, Malloc-M=502mb, Available-M=24382mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: after  Analyze M=2075.03mb, Malloc-M=502mb, Available-M=24379mb, T=0s CPU=0.21s W=(2026-06-14 21:38:13)
STATS:: before Load VCS Message: M=2075.03mb, Malloc-M=502mb, Available-M=24379mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: after  Load VCS Message: M=2075.03mb, Malloc-M=502mb, Available-M=24379mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: before Elaborate : M=2075.03mb, Malloc-M=505mb, Available-M=24387mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: |   before VSI_Load_DB+ M=2075.03mb, Malloc-M=506mb, Available-M=24384mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: |   after  VSI_Load_DB+ M=2075.03mb, Malloc-M=506mb, Available-M=24384mb, T=0s CPU=0s W=(2026-06-14 21:38:13)
STATS:: after  Elaborate : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=3s CPU=2.1s W=(2026-06-14 21:38:16)
STATS:: before Load VCS Message: M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: after  Load VCS Message: M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: before LoadCircuitModel : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   before VsiLib_Restore : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   after  VsiLib_Restore : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: after  LoadCircuitModel : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0.01s W=(2026-06-14 21:38:16)
STATS:: before BuildNetlist : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   before NLDM Build : M=2075.03mb, Malloc-M=506mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   |   before XMR_Resolution : Total:0 : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   |   after  XMR_Resolution : Success:0 : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   after  NLDM Build : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0.01s W=(2026-06-14 21:38:16)
STATS:: |   before Cell properties : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: |   after  Cell properties : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:16)
STATS:: after  BuildNetlist : M=2075.03mb, Malloc-M=528mb, Available-M=24390mb, T=0s CPU=0.01s W=(2026-06-14 21:38:16)
