

### analyze	Num_calls 1	Total_time 0.761027	Total_CpuTime 0.25	Total malloc-M 2
1	File:run_cdc.tcl::15	Time:0.761027	CpuTime:0.25	 Malloc-MB:2

### check_cdc	Num_calls 1	Total_time 5.68607	Total_CpuTime 2.93	Total malloc-M 29
1	File:run_cdc.tcl::109	Time:5.68607	CpuTime:2.93	 Malloc-MB:29

### configure_cdc_nff_sync	Num_calls 1	Total_time 0.001358	Total_CpuTime 0	Total malloc-M 0
1	File:run_cdc.tcl::31	Time:0.001358	CpuTime:0.00	 Malloc-MB:0

### configure_cdc_setup_check	Num_calls 1	Total_time 0.000325	Total_CpuTime 0	Total malloc-M 0

### configure_reset_propagation	Num_calls 2	Total_time 0.000357	Total_CpuTime 0	Total malloc-M 0

### configure_tag	Num_calls 19	Total_time 0.098927	Total_CpuTime 0.11	Total malloc-M 6
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.045239	CpuTime:0.04	 Malloc-MB:5
2	File:run_cdc.tcl::11	Time:0.008949	CpuTime:0.01	 Malloc-MB:0
3	File:run_cdc.tcl::11	Time:0.003635	CpuTime:0.01	 Malloc-MB:0
4	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/merge_commands.tcl::0	Time:0.003014	CpuTime:0.01	 Malloc-MB:0
5	File:run_cdc.tcl::11	Time:0.002674	CpuTime:0.01	 Malloc-MB:0
6	File:run_cdc.tcl::11	Time:0.002666	CpuTime:0.00	 Malloc-MB:0
7	File:run_cdc.tcl::11	Time:0.00262	CpuTime:0.00	 Malloc-MB:0
8	File:run_cdc.tcl::11	Time:0.002544	CpuTime:0.01	 Malloc-MB:0
9	File:run_cdc.tcl::11	Time:0.00254	CpuTime:0.01	 Malloc-MB:0
10	File:run_cdc.tcl::11	Time:0.002533	CpuTime:0.00	 Malloc-MB:0
11	File:run_cdc.tcl::11	Time:0.002532	CpuTime:0.00	 Malloc-MB:0
12	File:run_cdc.tcl::11	Time:0.002529	CpuTime:0.00	 Malloc-MB:0
13	File:run_cdc.tcl::11	Time:0.002521	CpuTime:0.00	 Malloc-MB:0
14	File:run_cdc.tcl::11	Time:0.002515	CpuTime:0.00	 Malloc-MB:0
15	File:run_cdc.tcl::11	Time:0.002507	CpuTime:0.00	 Malloc-MB:0
16	File:run_cdc.tcl::11	Time:0.002504	CpuTime:0.00	 Malloc-MB:0
17	File:run_cdc.tcl::11	Time:0.002456	CpuTime:0.00	 Malloc-MB:0
18	File:run_cdc.tcl::11	Time:0.002442	CpuTime:0.00	 Malloc-MB:0

### configure_waiver	Num_calls 4	Total_time 0.032879	Total_CpuTime 0.02	Total malloc-M 0
1	File:run_cdc.tcl::11	Time:0.009393	CpuTime:0.01	 Malloc-MB:0
2	File:run_cdc.tcl::11	Time:0.008014	CpuTime:0.00	 Malloc-MB:0
3	File:run_cdc.tcl::11	Time:0.007843	CpuTime:0.00	 Malloc-MB:0
4	File:run_cdc.tcl::11	Time:0.007629	CpuTime:0.01	 Malloc-MB:0

### create_clock	Num_calls 3	Total_time 0.001115	Total_CpuTime 0	Total malloc-M 0

### create_proc_command	Num_calls 249	Total_time 0.035701	Total_CpuTime 0.03	Total malloc-M 2

### create_reset	Num_calls 3	Total_time 0.000725	Total_CpuTime 0	Total malloc-M 0

### define_violation	Num_calls 2	Total_time 1.22135	Total_CpuTime 1.19	Total malloc-M 11
1	File:run_cdc.tcl::11	Time:0.649638	CpuTime:0.65	 Malloc-MB:0
2	File:run_cdc.tcl::11	Time:0.571712	CpuTime:0.54	 Malloc-MB:11

### elaborate	Num_calls 1	Total_time 3.10959	Total_CpuTime 2.24	Total malloc-M 38
1	File:run_cdc.tcl::19	Time:3.10959	CpuTime:2.24	 Malloc-MB:38

### fv_update_command_consistency_flow	Num_calls 1	Total_time 0.001177	Total_CpuTime 0	Total malloc-M 0
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/fv_command_consistency_helper.tcl::0	Time:0.001177	CpuTime:0.00	 Malloc-MB:0

### get_clocks	Num_calls 9	Total_time 0.000895	Total_CpuTime 0	Total malloc-M 0

### get_message_db_ptr	Num_calls 1	Total_time 3.8e-05	Total_CpuTime 0	Total malloc-M 0

### get_nets	Num_calls 4	Total_time 0.002292	Total_CpuTime 0	Total malloc-M 0
1	File:run_cdc.tcl::106	Time:0.001074	CpuTime:0.00	 Malloc-MB:0

### get_object_name	Num_calls 5	Total_time 0.000348	Total_CpuTime 0	Total malloc-M 0

### get_pins	Num_calls 52	Total_time 0.018722	Total_CpuTime 0.01	Total malloc-M 0
1	File:run_cdc.tcl::106	Time:0.001261	CpuTime:0.00	 Malloc-MB:0
2	File:run_cdc.tcl::106	Time:0.001213	CpuTime:0.00	 Malloc-MB:0
3	File:run_cdc.tcl::106	Time:0.001194	CpuTime:0.00	 Malloc-MB:0
4	File:run_cdc.tcl::106	Time:0.0011	CpuTime:0.01	 Malloc-MB:0
5	File:run_cdc.tcl::106	Time:0.001074	CpuTime:0.00	 Malloc-MB:0

### get_ports	Num_calls 16	Total_time 0.00179	Total_CpuTime 0	Total malloc-M 0

### get_report_db_ptr	Num_calls 1	Total_time 3.4e-05	Total_CpuTime 0	Total malloc-M 0

### invalidate_report_cache	Num_calls 8	Total_time 0.026177	Total_CpuTime 0.03	Total malloc-M 6
1	File:run_cdc.tcl::11	Time:0.024889	CpuTime:0.03	 Malloc-MB:6

### rename_tag	Num_calls 59	Total_time 1.02656	Total_CpuTime 1.03	Total malloc-M -1
1	File:run_cdc.tcl::11	Time:0.021853	CpuTime:0.02	 Malloc-MB:0
2	File:run_cdc.tcl::11	Time:0.020976	CpuTime:0.03	 Malloc-MB:-3
3	File:run_cdc.tcl::11	Time:0.020683	CpuTime:0.02	 Malloc-MB:0
4	File:run_cdc.tcl::11	Time:0.020269	CpuTime:0.02	 Malloc-MB:0
5	File:run_cdc.tcl::11	Time:0.019786	CpuTime:0.02	 Malloc-MB:0
6	File:run_cdc.tcl::11	Time:0.019618	CpuTime:0.02	 Malloc-MB:0
7	File:run_cdc.tcl::11	Time:0.019572	CpuTime:0.02	 Malloc-MB:0
8	File:run_cdc.tcl::11	Time:0.019297	CpuTime:0.02	 Malloc-MB:0
9	File:run_cdc.tcl::11	Time:0.019216	CpuTime:0.02	 Malloc-MB:0
10	File:run_cdc.tcl::11	Time:0.019076	CpuTime:0.01	 Malloc-MB:0
11	File:run_cdc.tcl::11	Time:0.019073	CpuTime:0.02	 Malloc-MB:0
12	File:run_cdc.tcl::11	Time:0.019061	CpuTime:0.02	 Malloc-MB:0
13	File:run_cdc.tcl::11	Time:0.018928	CpuTime:0.02	 Malloc-MB:0
14	File:run_cdc.tcl::11	Time:0.01891	CpuTime:0.02	 Malloc-MB:0
15	File:run_cdc.tcl::11	Time:0.018882	CpuTime:0.02	 Malloc-MB:0
16	File:run_cdc.tcl::11	Time:0.018832	CpuTime:0.02	 Malloc-MB:0
17	File:run_cdc.tcl::11	Time:0.018828	CpuTime:0.01	 Malloc-MB:0
18	File:run_cdc.tcl::11	Time:0.018602	CpuTime:0.02	 Malloc-MB:0
19	File:run_cdc.tcl::11	Time:0.018585	CpuTime:0.02	 Malloc-MB:0
20	File:run_cdc.tcl::11	Time:0.018508	CpuTime:0.02	 Malloc-MB:0
21	File:run_cdc.tcl::11	Time:0.018435	CpuTime:0.02	 Malloc-MB:0
22	File:run_cdc.tcl::11	Time:0.018052	CpuTime:0.02	 Malloc-MB:0
