

### analyze	Num_calls 1	Total_time 0.390147	Total_CpuTime 0.28	Total malloc-M 2
1	File:run_lint.tcl::20	Time:0.390147	CpuTime:0.28	 Malloc-MB:2

### check_lint	Num_calls 1	Total_time 4.16075	Total_CpuTime 6.58	Total malloc-M 3
1	File:run_lint.tcl::27	Time:4.16075	CpuTime:6.58	 Malloc-MB:3

### check_lint_noblock	Num_calls 1	Total_time 0.962017	Total_CpuTime 0.98	Total malloc-M 6
1	File:run_lint.tcl::24	Time:0.962017	CpuTime:0.98	 Malloc-MB:6

### compress_hdl	Num_calls 1	Total_time 0.733253	Total_CpuTime 0.73	Total malloc-M 3
1	File:run_lint.tcl::11	Time:0.733253	CpuTime:0.73	 Malloc-MB:3

### compress_violations	Num_calls 1	Total_time 0.733133	Total_CpuTime 0.73	Total malloc-M 3
1	File:run_lint.tcl::11	Time:0.733133	CpuTime:0.73	 Malloc-MB:3

### configure_console_messages	Num_calls 1	Total_time 0.993543	Total_CpuTime 0.99	Total malloc-M 1
1	File:run_lint.tcl::11	Time:0.993543	CpuTime:0.99	 Malloc-MB:1

### configure_infer_setup_start_pts	Num_calls 1	Total_time 0.00014	Total_CpuTime 0	Total malloc-M 0

### configure_lint_methodology	Num_calls 1	Total_time 0.000127	Total_CpuTime 0	Total malloc-M 0

### configure_lint_setup	Num_calls 1	Total_time 2.00996	Total_CpuTime 1.65	Total malloc-M 9
1	File:run_lint.tcl::12	Time:2.00996	CpuTime:1.65	 Malloc-MB:9

### configure_lint_tag_parameter	Num_calls 31	Total_time 0.137829	Total_CpuTime 0.08	Total malloc-M 2
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::14	Time:0.00692	CpuTime:0.00	 Malloc-MB:0
2	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::13	Time:0.006634	CpuTime:0.00	 Malloc-MB:2
3	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::15	Time:0.005618	CpuTime:0.01	 Malloc-MB:0
4	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::30	Time:0.005117	CpuTime:0.01	 Malloc-MB:0
5	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::28	Time:0.00488	CpuTime:0.00	 Malloc-MB:0
6	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::126	Time:0.004859	CpuTime:0.00	 Malloc-MB:0
7	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::78	Time:0.004807	CpuTime:0.01	 Malloc-MB:0
8	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::158	Time:0.004754	CpuTime:0.00	 Malloc-MB:0
9	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::80	Time:0.004663	CpuTime:0.00	 Malloc-MB:0
10	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::174	Time:0.004643	CpuTime:0.00	 Malloc-MB:0
11	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::181	Time:0.004614	CpuTime:0.01	 Malloc-MB:0
12	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::76	Time:0.004571	CpuTime:0.00	 Malloc-MB:0
13	File:run_lint.tcl::13	Time:0.004444	CpuTime:0.00	 Malloc-MB:0
14	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::131	Time:0.004434	CpuTime:0.00	 Malloc-MB:0
15	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::115	Time:0.004427	CpuTime:0.00	 Malloc-MB:0
16	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::133	Time:0.004416	CpuTime:0.01	 Malloc-MB:0
17	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::173	Time:0.004236	CpuTime:0.01	 Malloc-MB:0
18	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::31	Time:0.004148	CpuTime:0.00	 Malloc-MB:0
19	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::123	Time:0.004111	CpuTime:0.00	 Malloc-MB:0
