

### analyze	Num_calls 1	Total_time 1.50264	Total_CpuTime 0.31	Total malloc-M 2
1	File:run_lint.tcl::20	Time:1.50264	CpuTime:0.31	 Malloc-MB:2

### check_lint	Num_calls 1	Total_time 6.93632	Total_CpuTime 7.44	Total malloc-M 3
1	File:run_lint.tcl::27	Time:6.93632	CpuTime:7.44	 Malloc-MB:3

### check_lint_noblock	Num_calls 1	Total_time 0.942348	Total_CpuTime 0.96	Total malloc-M 6
1	File:run_lint.tcl::24	Time:0.942348	CpuTime:0.96	 Malloc-MB:6

### compress_hdl	Num_calls 1	Total_time 0.558872	Total_CpuTime 0.56	Total malloc-M 3
1	File:run_lint.tcl::11	Time:0.558872	CpuTime:0.56	 Malloc-MB:3

### compress_violations	Num_calls 1	Total_time 0.558753	Total_CpuTime 0.56	Total malloc-M 3
1	File:run_lint.tcl::11	Time:0.558753	CpuTime:0.56	 Malloc-MB:3

### configure_console_messages	Num_calls 1	Total_time 0.991965	Total_CpuTime 0.99	Total malloc-M 1
1	File:run_lint.tcl::11	Time:0.991965	CpuTime:0.99	 Malloc-MB:1

### configure_infer_setup_start_pts	Num_calls 1	Total_time 0.000144	Total_CpuTime 0	Total malloc-M 0

### configure_lint_methodology	Num_calls 1	Total_time 7.4e-05	Total_CpuTime 0	Total malloc-M 0

### configure_lint_setup	Num_calls 1	Total_time 2.56374	Total_CpuTime 1.73	Total malloc-M 9
1	File:run_lint.tcl::12	Time:2.56374	CpuTime:1.73	 Malloc-MB:9

### configure_lint_tag_parameter	Num_calls 31	Total_time 0.149889	Total_CpuTime 0.12	Total malloc-M 2
1	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::178	Time:0.006283	CpuTime:0.01	 Malloc-MB:0
2	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::76	Time:0.00625	CpuTime:0.01	 Malloc-MB:0
3	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::87	Time:0.006143	CpuTime:0.00	 Malloc-MB:0
4	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::78	Time:0.005725	CpuTime:0.01	 Malloc-MB:0
5	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::13	Time:0.005468	CpuTime:0.00	 Malloc-MB:2
6	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::179	Time:0.005341	CpuTime:0.00	 Malloc-MB:0
